Working Title,Reviewer,Domain,Area,Topic,Cognitive ability,Paper #,Experiment #,Species   (common name),Species         (latin name),Sample size,Publication Year,Peer Reviewed,Full Reference,DOI,Research Kind,Abstract,Notes,
Can be freely chosen by you,Your Name (optional),Drop-down menu,A sub-category of 'Domain',A sub-category of 'Area',,Number for each new paper,Number for each experiment within a paper,"e.g., chimpanzee","e.g., pan troglydytes","# individuals  per experiment(""NA"" optional)",Drop-down menu,Drop-down menu (Yes/No),APA style,,Drop-down menu (Exp/Obs/Other),Copy/paste from paper,In case you want to leave any comments (optional),
metacognition,cathal o'madagain,Meta-Cognition,ToM,metacognition in great apes,metacognition,1,1,chimpanzee,pan troglodytes,7,2017,Yes,"Bohn, M., Allritz, M., Call, J., & Völter, C. J. (2017). Information seeking about tool properties in great apes. Scientific reports, 7(1), 10923.",10.1038/s41598-017-11400-z,experimental,"Evidence suggests that great apes engage in metacognitive information seeking for food items. To support the claim that a domain-general cognitive process underlies ape metacognition one needs to show that selective information seeking extends to non-food items. In this study, chimpanzees (Pan troglodytes) and orangutans (Pongo abelii) either had to determine the location of a desired food item or a property of a non-food item (length of a tool). We manipulated whether subjects received prior information about the item’s location or property. During the test, subjects had the opportunity to seek the respective information. Results show that apes engaged in more information seeking when they had no prior knowledge. Importantly, this selective pattern of information seeking applied to food as well as to tools.",,
metacognition,cathal o'madagain,Meta-Cognition,ToM,metacognition in great apes,metacognition,1,1,orangutan,pongo abelii,7,2017,Yes,"Bohn, M., Allritz, M., Call, J., & Völter, C. J. (2017). Information seeking about tool properties in great apes. Scientific reports, 7(1), 10923.",10.1038/s41598-017-11400-z,experimental,"Evidence suggests that great apes engage in metacognitive information seeking for food items. To support the claim that a domain-general cognitive process underlies ape metacognition one needs to show that selective information seeking extends to non-food items. In this study, chimpanzees (Pan troglodytes) and orangutans (Pongo abelii) either had to determine the location of a desired food item or a property of a non-food item (length of a tool). We manipulated whether subjects received prior information about the item’s location or property. During the test, subjects had the opportunity to seek the respective information. Results show that apes engaged in more information seeking when they had no prior knowledge. Importantly, this selective pattern of information seeking applied to food as well as to tools.",,
metacognition,cathal o'madagain,Meta-Cognition,ToM,metacognition in great apes,metacognition,2,1,bonobo,pan paniscus,4,2010,Yes,"Call, J. (2010). Do apes know that they could be wrong?. Animal Cognition, 13(5), 689-700.",10.1007/s10071-010-0317-x,experimental,"When confronted with uncertain or incomplete information in decision-making situations, monkeys and apes opt for either escaping the situation or seeking additional information. These responses have been interpreted as evidence of metacognitive abilities. However, this interpretation has been challenged. On the one hand, studies using the information-seeking paradigm have been criticized because subjects may simply engage in a search for information routine (e.g., search until spot the reward) without any metacognitive involvement. On the other hand, studies using the escape response paradigm have been criticized because subjects may not recognize their own state of uncertainty but have learned to use the escape response in the presence of certain stimuli configurations that create uncertainty. The current study attempted to address these two criticisms by presenting great apes (seven gorillas, eight chimpanzees, four bonobos, seven orangutans) with a seeking information task whose basic procedure consisted of presenting two hollow tubes, baiting one of them and letting subjects choose. Conditions varied depending on whether subjects had visual access to the baiting, the cost associated with seeking information, the time interval between baiting and choosing, the food quality and the additional information offered regarding the food’s location. Although subjects showed a high retrieval accuracy when they had witnessed the baiting, they were more likely to check inside the tube before choosing when high stakes were involved (Experiment 3) or after a longer period of time had elapsed between the baiting and the retrieval of the reward (Experiment 2). In contrast, providing subjects with indirect auditory information about the food’s location or increasing the cost of checking reduced checking before choosing (Experiment 1). Taken together, these findings suggest that subjects knew that they could be wrong when choosing.",,
metacognition,cathal o'madagain,Meta-Cognition,ToM,metacognition in great apes,metacognition,2,1,chimpanzee,pan troglodytes,8,2010,Yes,"Call, J. (2010). Do apes know that they could be wrong?. Animal Cognition, 13(5), 689-700.",10.1007/s10071-010-0317-x,experimental,"When confronted with uncertain or incomplete information in decision-making situations, monkeys and apes opt for either escaping the situation or seeking additional information. These responses have been interpreted as evidence of metacognitive abilities. However, this interpretation has been challenged. On the one hand, studies using the information-seeking paradigm have been criticized because subjects may simply engage in a search for information routine (e.g., search until spot the reward) without any metacognitive involvement. On the other hand, studies using the escape response paradigm have been criticized because subjects may not recognize their own state of uncertainty but have learned to use the escape response in the presence of certain stimuli configurations that create uncertainty. The current study attempted to address these two criticisms by presenting great apes (seven gorillas, eight chimpanzees, four bonobos, seven orangutans) with a seeking information task whose basic procedure consisted of presenting two hollow tubes, baiting one of them and letting subjects choose. Conditions varied depending on whether subjects had visual access to the baiting, the cost associated with seeking information, the time interval between baiting and choosing, the food quality and the additional information offered regarding the food’s location. Although subjects showed a high retrieval accuracy when they had witnessed the baiting, they were more likely to check inside the tube before choosing when high stakes were involved (Experiment 3) or after a longer period of time had elapsed between the baiting and the retrieval of the reward (Experiment 2). In contrast, providing subjects with indirect auditory information about the food’s location or increasing the cost of checking reduced checking before choosing (Experiment 1). Taken together, these findings suggest that subjects knew that they could be wrong when choosing.",,
metacognition,cathal o'madagain,Meta-Cognition,ToM,metacognition in great apes,metacognition,2,1,gorilla,gorilla gorilla,7,2010,Yes,"Call, J. (2010). Do apes know that they could be wrong?. Animal Cognition, 13(5), 689-700.",10.1007/s10071-010-0317-x,experimental,"When confronted with uncertain or incomplete information in decision-making situations, monkeys and apes opt for either escaping the situation or seeking additional information. These responses have been interpreted as evidence of metacognitive abilities. However, this interpretation has been challenged. On the one hand, studies using the information-seeking paradigm have been criticized because subjects may simply engage in a search for information routine (e.g., search until spot the reward) without any metacognitive involvement. On the other hand, studies using the escape response paradigm have been criticized because subjects may not recognize their own state of uncertainty but have learned to use the escape response in the presence of certain stimuli configurations that create uncertainty. The current study attempted to address these two criticisms by presenting great apes (seven gorillas, eight chimpanzees, four bonobos, seven orangutans) with a seeking information task whose basic procedure consisted of presenting two hollow tubes, baiting one of them and letting subjects choose. Conditions varied depending on whether subjects had visual access to the baiting, the cost associated with seeking information, the time interval between baiting and choosing, the food quality and the additional information offered regarding the food’s location. Although subjects showed a high retrieval accuracy when they had witnessed the baiting, they were more likely to check inside the tube before choosing when high stakes were involved (Experiment 3) or after a longer period of time had elapsed between the baiting and the retrieval of the reward (Experiment 2). In contrast, providing subjects with indirect auditory information about the food’s location or increasing the cost of checking reduced checking before choosing (Experiment 1). Taken together, these findings suggest that subjects knew that they could be wrong when choosing.",,
metacognition,cathal o'madagain,Meta-Cognition,ToM,metacognition in great apes,metacognition,2,1,orangutan,pongo abelii,7,2010,Yes,"Call, J. (2010). Do apes know that they could be wrong?. Animal Cognition, 13(5), 689-700.",10.1007/s10071-010-0317-x,experimental,"When confronted with uncertain or incomplete information in decision-making situations, monkeys and apes opt for either escaping the situation or seeking additional information. These responses have been interpreted as evidence of metacognitive abilities. However, this interpretation has been challenged. On the one hand, studies using the information-seeking paradigm have been criticized because subjects may simply engage in a search for information routine (e.g., search until spot the reward) without any metacognitive involvement. On the other hand, studies using the escape response paradigm have been criticized because subjects may not recognize their own state of uncertainty but have learned to use the escape response in the presence of certain stimuli configurations that create uncertainty. The current study attempted to address these two criticisms by presenting great apes (seven gorillas, eight chimpanzees, four bonobos, seven orangutans) with a seeking information task whose basic procedure consisted of presenting two hollow tubes, baiting one of them and letting subjects choose. Conditions varied depending on whether subjects had visual access to the baiting, the cost associated with seeking information, the time interval between baiting and choosing, the food quality and the additional information offered regarding the food’s location. Although subjects showed a high retrieval accuracy when they had witnessed the baiting, they were more likely to check inside the tube before choosing when high stakes were involved (Experiment 3) or after a longer period of time had elapsed between the baiting and the retrieval of the reward (Experiment 2). In contrast, providing subjects with indirect auditory information about the food’s location or increasing the cost of checking reduced checking before choosing (Experiment 1). Taken together, these findings suggest that subjects knew that they could be wrong when choosing.",,
metacognition,cathal o'madagain,Meta-Cognition,ToM,metacognition in great apes,metacognition,3,1,chimpanzee,pan troglodytes,12,2001,Yes,"Call, J., & Carpenter, M. (2001). Do apes and children know what they have seen?. Animal Cognition, 3(4), 207-220.",10.1007/s100710100078,experimental,"Chimpanzees and young children understand much about what other individuals have and have not seen. This study investigates what they understand about their own visual perception. Chimpanzees, orangutans, and 2.5-year-old children were presented with a finding game in which food or stickers were hidden in one of two or three tubes. We varied whether subjects saw the baiting of the tubes, whether subjects could see through the tubes, and whether there was a delay between baiting and presentation of the tubes to subjects. We measured not only whether subjects chose the correct tube but also, more importantly, whether they spontaneously looked into one or more of the tubes before choosing one. Most apes and children appropriately looked into the tubes before choosing one more often when they had not seen the baiting than when they had seen the baiting. In general, they used efficient search strategies more often than insufficient or excessive ones. Implications of subjects' search patterns for their understanding of seeing and knowing in the self are discussed.",,
metacognition,cathal o'madagain,Meta-Cognition,ToM,metacognition in great apes,metacognition,3,1,orangutan,pongo abelii,3,2001,Yes,"Call, J., & Carpenter, M. (2001). Do apes and children know what they have seen?. Animal Cognition, 3(4), 207-220.",10.1007/s100710100078,experimental,"Chimpanzees and young children understand much about what other individuals have and have not seen. This study investigates what they understand about their own visual perception. Chimpanzees, orangutans, and 2.5-year-old children were presented with a finding game in which food or stickers were hidden in one of two or three tubes. We varied whether subjects saw the baiting of the tubes, whether subjects could see through the tubes, and whether there was a delay between baiting and presentation of the tubes to subjects. We measured not only whether subjects chose the correct tube but also, more importantly, whether they spontaneously looked into one or more of the tubes before choosing one. Most apes and children appropriately looked into the tubes before choosing one more often when they had not seen the baiting than when they had seen the baiting. In general, they used efficient search strategies more often than insufficient or excessive ones. Implications of subjects' search patterns for their understanding of seeing and knowing in the self are discussed.",,
metacognition,cathal o'madagain,Meta-Cognition,ToM,metacognition in great apes,metacognition,4,1,orangutan,pongo abelii,3,2012,Yes,"Marsh, H. L., & MacDonald, S. E. (2012). Information seeking by orangutans: a generalized search strategy?. Animal Cognition, 15(3), 293-304.",10.1007/s10071-011-0453-y,experimental,"Recent empirical work has suggested that some species of non-human primates may be aware of their knowledge states. One finding to support this claim is that they seek information about the location of a hidden food item when they are unsure of its location, but not when they already know where it is, which purportedly demonstrates metacognition. However, this behaviour may instead reflect a generalized search strategy, in which subjects reach for food when they see it, and search for it when they do not. In this experiment, this possibility was addressed by testing orangutans in three conditions in which the location of a food item was sometimes known to subjects, and other times required subjects to visually seek the missing information. All subjects exhibited behaviour consistent with a metacognitive interpretation in at least two of the three conditions. Critically, in two of the conditions, subjects refrained from seeking visual information, and correctly found the hidden food item without ever seeing it, using inference by exclusion. The results suggest that animals that succeed in this information-seeking task are not merely acting according to a generalized search strategy, and instead seek information adaptively according to their knowledge states.",,
